Tidspunkt,solar_consumption,Verdi,total_consum
2024-04-19,222.2988514266907,663.5,885.7988514266907
2024-04-20,249.15788310393688,629.5,878.6578831039369
2024-04-21,352.5511894728988,336.2,688.7511894728988
2024-04-22,402.75483957212424,507.6,910.3548395721243
2024-04-23,140.8118861597033,730.5,871.3118861597034
2024-04-24,207.12910057883707,671.1,878.2291005788371
2024-04-25,245.51885137241328,639.7,885.2188513724134
2024-04-26,220.3976183328777,661.2,881.5976183328778
2024-04-27,293.76116438210005,602.1,895.8611643821
2024-04-28,97.05093138478709,487.9,584.950931384787
2024-04-29,236.7941789672477,666.3,903.0941789672477
2024-04-30,149.35928793530914,754.6,903.9592879353091
2024-05-01,391.2971301488579,330.6,721.897130148858
2024-05-02,377.00944801419985,628.3,1005.3094480141998
2024-05-03,413.8558246325701,537.9,951.75582463257
2024-05-04,355.77491610031575,561.7,917.4749161003158
2024-05-05,213.80347541952503,384.3,598.103475419525
2024-05-06,165.72426008805624,715.9,881.6242600880562
2024-05-07,351.43190768640494,537.4,888.831907686405
2024-05-08,342.011847946793,578.4,920.4118479467929
2024-05-09,211.93109234701836,426.4,638.3310923470183
2024-05-10,313.1268418179825,564.0,877.1268418179825
2024-05-11,414.5378651795909,480.0,894.5378651795909
2024-05-12,435.562077384442,271.4,706.962077384442
2024-05-13,433.04868730064493,413.6,846.648687300645
2024-05-14,432.06751829385746,521.1,953.1675182938575
2024-05-15,415.269442449324,503.1,918.369442449324
2024-05-16,427.58766661956906,555.1,982.6876666195691
2024-05-17,427.58404528442765,329.7,757.2840452844276
2024-05-18,430.01233029505227,347.1,777.1123302950523
2024-05-19,379.48503157310194,278.5,657.9850315731019
2024-05-20,409.28068287577474,192.7,601.9806828757747
2024-05-21,416.0681091370061,501.4,917.4681091370061
2024-05-22,391.12775198649626,651.2,1042.3277519864964
2024-05-23,318.75216417293984,664.5,983.2521641729398
2024-05-24,155.89017001073805,804.4,960.290170010738
2024-05-25,373.0202998956665,714.5,1087.5202998956665
2024-05-26,352.71923009399325,435.7,788.4192300939933
2024-05-27,234.3049527499823,789.5,1023.8049527499822
2024-05-28,241.87557481322435,667.9,909.7755748132244
2024-05-29,475.64349240018055,568.6,1044.2434924001805
2024-05-30,193.2078950768338,771.0,964.2078950768338
2024-05-31,410.92464984022087,635.8,1046.7246498402208
2024-06-01,239.99495274666697,826.8,1066.794952746667
2024-06-02,480.23656647186715,335.3,815.5365664718672
2024-06-03,428.577189498581,530.6,959.177189498581
2024-06-04,346.33518928027485,582.2,928.5351892802748
2024-06-05,296.12666070926934,696.7,992.8266607092694
2024-06-06,450.4924715738744,482.8,933.2924715738744
2024-06-07,357.5397271122784,581.1,938.6397271122785
2024-06-08,247.3512151548637,647.5,894.8512151548637
2024-06-09,274.97949337586766,389.1,664.0794933758677
2024-06-10,375.82959087751783,521.1,896.9295908775179
2024-06-11,301.4370586504227,679.8,981.2370586504227
2024-06-12,478.15765300299984,526.1,1004.2576530029999
2024-06-13,276.5456621898339,598.4,874.9456621898339
2024-06-14,264.0374623835087,770.8,1034.8374623835086
2024-06-15,172.5880026733504,783.8,956.3880026733503
2024-06-16,348.84182094130654,320.3,669.1418209413066
2024-06-17,494.92620068695413,534.4,1029.326200686954
2024-06-18,348.00670785363764,681.7,1029.7067078536377
2024-06-19,438.8529840502887,587.4,1026.2529840502887
2024-06-20,517.2850941941143,460.2,977.4850941941143
2024-06-21,532.1557112000881,454.8,986.9557112000882
2024-06-22,71.21005365904418,891.2,962.4100536590443
2024-06-23,502.76973790396005,280.8,783.56973790396
2024-06-24,512.0542794642969,531.8,1043.8542794642967
2024-06-25,476.45250954851514,507.8,984.2525095485151
2024-06-26,410.44963875832036,681.6,1092.0496387583203
2024-06-27,433.0943965706974,688.1,1121.1943965706973
2024-06-28,445.857423350215,640.4,1086.257423350215
2024-06-29,434.92572105256824,584.4,1019.3257210525683
2024-06-30,279.11571791674936,483.8,762.9157179167494
2024-07-01,311.7470495300367,649.0,960.7470495300367
2024-07-02,259.0334690259769,741.8,1000.8334690259769
2024-07-03,358.01699838507915,630.3,988.3169983850792
2024-07-04,190.49754834454518,799.2,989.6975483445452
2024-07-05,316.0138396015391,649.0,965.0138396015391
